,x,y
grenoble_m3-2,10.1062374040804,23.7591618845287
grenoble_m3-11,-19.5483732964278,5.42670722894995
grenoble_m3-13,0.50824943030202,19.5108270361824
grenoble_m3-14,-2.85294577226333,20.5610771928143
grenoble_m3-15,-8.07508513592274,9.27678800752407
grenoble_m3-16,0.585589909836322,24.5780867174278
grenoble_m3-18,0.472422922489031,20.288523990447
grenoble_m3-20,-12.3634199285719,17.0537546761056
grenoble_m3-21,-6.81743341344069,4.31796298003473
grenoble_m3-22,11.2735542064533,1.13451039456482
grenoble_m3-24,-3.29895679296752,20.9170788302397
grenoble_m3-25,-9.47606183917682,13.7056640129893
grenoble_m3-26,-2.93839411466269,9.48147377240234
grenoble_m3-27,-10.0990714108367,13.8633330808746
grenoble_m3-28,-3.43363528212796,14.3779325372697
grenoble_m3-30,-8.35685135305696,15.4821253287698
grenoble_m3-31,-5.43460542304471,17.5643062751991
grenoble_m3-32,-1.73989917749952,17.827967180362
grenoble_m3-177,-12.478028222938,10.9229262872788
grenoble_m3-178,-8.46024629995607,16.4528084453629
grenoble_m3-179,-27.2868871639567,32.8031665701583
grenoble_m3-181,-10.9840451957431,18.1161809442603
grenoble_m3-182,-6.26748415802885,26.9829877425162
grenoble_m3-183,-7.43645221854721,15.447117943267
grenoble_m3-184,5.479557169443,2.58683597824991
grenoble_m3-185,-19.0212216634322,21.3794319736316
grenoble_m3-188,-12.0204488134973,12.0798175741432
grenoble_m3-189,-34.4605436014715,40.8010234661113
grenoble_m3-191,-1.20229297032941,44.7270866695092
grenoble_m3-192,-21.6888932673278,14.0208739625354
grenoble_m3-193,25.1780774291654,22.2361651402047
grenoble_m3-195,-3.62576335912515,18.2154113349123
grenoble_m3-196,-32.0631114080811,-0.203052505704151
grenoble_m3-197,-9.25883503715924,17.5779979466749
grenoble_m3-198,-2.68946371426338,26.9892485531362
grenoble_m3-199,-9.87637224164406,11.7486869143717
grenoble_m3-200,-20.9203332644569,27.7533435956081
grenoble_m3-201,-6.45799722117914,18.024071007251
grenoble_m3-202,-17.979441175852,21.949041100291
grenoble_m3-203,-2.19547500864577,20.8282069169118
grenoble_m3-204,-16.8376667495123,34.766114742021
grenoble_m3-205,-13.0812837073614,21.7134026353911
grenoble_m3-207,5.67109566504057,18.5011899993733
grenoble_m3-208,-0.898986078928869,16.6251832812892
grenoble_m3-209,-8.91386865567434,26.5941557306664
grenoble_m3-210,-16.2624584940073,2.81793025189891
grenoble_m3-211,-21.4712422060527,28.5854594968722
grenoble_m3-212,0.528364361616826,34.1282642958962
grenoble_m3-214,-10.9833805710442,35.5980659742979
grenoble_m3-215,-17.9910373168954,36.4770859703357
grenoble_m3-216,2.13020239106101,30.3928892696157
grenoble_m3-218,-13.3146552272391,20.1351714104085
grenoble_m3-219,-3.73000051796191,24.7966675867475
grenoble_m3-220,-0.629956201262907,14.1333351905465
grenoble_m3-221,-22.5427249826006,8.46950292264513
grenoble_m3-222,-12.6554002399343,24.4920639103644
grenoble_m3-223,-15.8209898111717,33.9188240599611
grenoble_m3-224,-19.0741241293949,2.89364503111577
grenoble_m3-225,-4.20591300757299,36.5528382419968
grenoble_m3-226,-7.10535433749244,12.419296283124
grenoble_m3-227,-24.6622303285501,15.1930177182975
grenoble_m3-228,-4.04962557219014,25.2818466998899
grenoble_m3-229,-13.8643979756402,29.4171959214981
grenoble_m3-230,-24.4904421692961,7.92871126360319
grenoble_m3-231,5.04829731755824,0.235048489645108
grenoble_m3-232,-15.6037181592105,8.01712944962409
grenoble_m3-233,-21.6365281126238,6.29710919777667
grenoble_m3-234,-6.64838061052072,24.1267375264372
grenoble_m3-235,-15.6963630665294,19.3904498874159
grenoble_m3-236,-1.25404955167839,20.23048213325
grenoble_m3-237,-8.32742075361311,33.5914895178996
grenoble_m3-238,-10.1551121909608,9.75532680885122
grenoble_m3-239,6.78721904624518,10.6323358370465
grenoble_m3-240,-11.4608859515271,20.5873101137001
grenoble_m3-241,1.21072811187716,5.76845155652567
grenoble_m3-244,2.3476964456379,22.8618629393346
grenoble_m3-245,-1.88631174530237,15.4359194387722
grenoble_m3-246,7.11897207984167,16.13303824878
grenoble_m3-247,-12.0386489004936,14.9474486724969
grenoble_m3-248,-8.45070592881336,27.4491331999164
grenoble_m3-249,2.2203808986026,13.2423288286029
grenoble_m3-250,1.65269237359091,20.8441594375604
grenoble_m3-252,2.94088483314433,8.88803870164195
grenoble_m3-254,-42.0269309757955,-22.6702526734022
grenoble_m3-255,24.524602613368,8.40619636107277
grenoble_m3-256,-9.11076108342797,15.0174216158304
grenoble_m3-257,-35.0600651342767,9.59012060410294
grenoble_m3-259,-1.92026005554878,13.5022564310845
grenoble_m3-260,3.19819761069323,14.1555679564004
grenoble_m3-261,-7.76168702168157,14.9342049082616
grenoble_m3-264,14.4124458150491,21.0247715082156
grenoble_m3-265,2.57187964528447,-4.72441858886066
grenoble_m3-267,-2.71861109959392,12.7444619812297
grenoble_m3-269,-0.744029531024805,9.02923818713586
grenoble_m3-270,18.4501247867743,20.915898840837
grenoble_m3-271,-4.51514952752798,15.2650756826496
grenoble_m3-272,-10.6423345713555,13.6864419188549
grenoble_m3-273,-7.68322503998593,13.4183855943088
grenoble_m3-274,-4.44327077441726,14.2170598612652
grenoble_m3-275,-8.26556929005315,24.2848742041334
grenoble_m3-276,-11.275233139399,10.852377948207
grenoble_m3-277,-8.47956549683749,16.0841968109364
grenoble_m3-278,-6.28735810008617,-8.02778427367758
