,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,24.133429321289064,7.377526409520346,25.465000000000003,7.799999999999999,0.11246993237333336,0.03438176503284092
PHY_POWER_m12dBm,25.559222281033882,7.815733894920471,26.992000000000004,8.256745901639343,0.11911460916692171,0.03642395993155612
PHY_POWER_m10dBm,26.788847422865576,8.202805307106892,28.580000000000013,8.739999999999998,0.12484507766790531,0.0382278434564663
PHY_POWER_m7dBm,28.094714807729257,8.595201588688331,30.046000000000006,9.2,0.1309308607743534,0.0400565426713798
PHY_POWER_m5dBm,29.33289229344237,8.978099721059895,31.510999999999996,9.669,0.13670118608661613,0.04184097730271155
PHY_POWER_m4dBm,30.398018261396636,9.312747056983621,33.099000000000004,10.133,0.1416650328731655,0.04340054692454959
PHY_POWER_m3dBm,31.65284469638782,9.70115153661655,34.443,10.562999999999999,0.14751294791270914,0.04521064299404105
PHY_POWER_m2dBm,32.848149422134384,10.05984287413439,35.893,10.999999999999998,0.15308347168206216,0.04688226578483708
PHY_POWER_m1dBm,33.717194651027555,10.338052744720812,37.129999999999995,11.359724719101123,0.1571335159928705,0.048178817754881656
PHY_POWER_0dBm,35.086562703116996,10.741130965436092,38.351,11.754999999999999,0.16351523365770493,0.05005729841428051
PHY_POWER_0_7dBm,36.180089364059086,11.095387643282534,39.87800000000001,12.219000000000001,0.16861143726670053,0.05170825419307834
PHY_POWER_1_3dBm,37.543547118712965,11.508953675468131,41.03800000000001,12.567172284644194,0.1749656109491181,0.05363561159647853
PHY_POWER_1_8dBm,38.30305301570233,11.744215164803329,42.259,12.965999999999998,0.1785051649733026,0.05473200960288362
PHY_POWER_2_3dBm,39.405753001545996,12.078746852167743,43.358999999999995,13.303,0.18364411937488487,0.05629104026337174
PHY_POWER_2_8dBm,39.754877092483056,12.184093077168004,44.21300000000001,13.572,0.18527115556501117,0.05678198925548675
PHY_POWER_3dBm,41.083532767651946,12.600665064859482,45.1295,13.846,0.19146313980165958,0.05872335542688932
