,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,24.524454550190335,7.57364739329344,25.89399999999999,7.97021857923497,0.11429224201964613,0.03529575506253361
PHY_POWER_m12dBm,25.80716959524241,7.974906048772981,27.236999999999995,8.422999999999998,0.12027012740222624,0.03716575593332523
PHY_POWER_m10dBm,27.01284261983026,8.347413843771747,28.81280573248408,8.879499999999998,0.1258889709463606,0.03890176808287468
PHY_POWER_m7dBm,28.299616487731118,8.736087265026441,30.412999999999997,9.389999999999997,0.1318857718143962,0.04071311751116607
PHY_POWER_m5dBm,29.53046149915083,9.128342196549852,31.878,9.849999999999994,0.1376219253197048,0.04254115798706425
PHY_POWER_m4dBm,30.784569258150235,9.507712991619343,33.343999999999994,10.311499999999999,0.14346649108637394,0.044309154035112194
PHY_POWER_m3dBm,32.163544465510014,9.939382785587924,34.93199999999999,10.787499999999998,0.14989298133985168,0.04632088108346953
PHY_POWER_m2dBm,33.18629866816916,10.266678120981602,36.275000000000006,11.205499999999997,0.1546593613878851,0.04784618789949513
PHY_POWER_m1dBm,34.3365930405149,10.615382765028208,37.619,11.642,0.16002012170689311,0.04947126932543208
PHY_POWER_0dBm,35.36332083265948,10.945838961655925,38.84,12.011499999999998,0.1648050200241189,0.051011306822476996
PHY_POWER_0_7dBm,36.41428987732964,11.26398865557682,39.93899999999999,12.366,0.16970289076627024,0.05249399186004497
PHY_POWER_1_3dBm,37.13566523529727,11.49040457057439,41.161,12.721999999999994,0.17306474359896476,0.05354916650219827
PHY_POWER_1_8dBm,38.10632771526974,11.79418728683854,42.25999999999999,13.064,0.17758835862385194,0.054964896571040034
PHY_POWER_2_3dBm,39.09064238204483,12.10087440959704,43.358999999999995,13.386999999999993,0.1821755974506446,0.05639416215518945
PHY_POWER_2_8dBm,40.05558637517406,12.388668273968822,44.15299999999999,13.647999999999996,0.18667256239526447,0.057735378773533914
PHY_POWER_3dBm,41.00879828632546,12.673271418482592,45.19099999999999,13.957999999999998,0.19111485187503113,0.05906172555958579
