,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,22.373068478332403,6.792188046537027,27.2975,8.316999999999997,0.10426605623438168,0.031653890547047155
PHY_POWER_m12dBm,23.789951720124904,7.24047357779178,28.885000000000012,8.844499999999996,0.11086921073280752,0.03374305254358486
PHY_POWER_m10dBm,25.445183393073684,7.743232271455023,31.083999999999996,9.479499999999998,0.11858314942922503,0.03608607787676987
PHY_POWER_m7dBm,26.260883734864617,8.003236570964216,32.488,9.924499999999998,0.12238458854741956,0.03729778573615722
PHY_POWER_m5dBm,27.758114606211244,8.454037097090145,34.87,10.644999999999998,0.12936219013921135,0.03939866845830398
PHY_POWER_m4dBm,28.77290334258573,8.759701244317078,35.91390921169176,10.950499999999996,0.13409144842380077,0.04082316663093789
PHY_POWER_m3dBm,30.183270071970668,9.188953880343846,36.091,11.013499999999997,0.14066423377327428,0.042823628906824125
PHY_POWER_m2dBm,30.821027373808057,9.396785973656165,37.801,11.527,0.1436363982200807,0.04379219666272216
PHY_POWER_m1dBm,32.32183664450048,9.84929107987542,40.61000000000001,12.3305,0.1506306763615277,0.045901023303873106
PHY_POWER_0dBm,33.49348385766983,10.201297770720934,40.61000000000001,12.406500000000001,0.15609094813128888,0.04754149338325099
PHY_POWER_0_7dBm,34.44978771107676,10.496900318507285,41.832,12.775,0.16054764710635566,0.048919101103907084
PHY_POWER_1_3dBm,35.068232084209825,10.68019397867375,42.748,13.070999999999998,0.16342980678192182,0.049773311472808016
PHY_POWER_1_8dBm,36.54121521940222,11.11492212508736,44.885,13.688500000000001,0.17029440573288845,0.051799291476602685
PHY_POWER_2_3dBm,37.223138432330956,11.348969420107792,46.717,14.269999999999996,0.17347239824364385,0.052890030927373106
PHY_POWER_2_8dBm,38.10021311808935,11.611983646024553,46.10699999999999,14.0915,0.17755986253561626,0.054115766060505964
PHY_POWER_3dBm,38.65125104330519,11.779150364821511,46.644631483166506,14.238499999999998,0.1801278853954879,0.05489481943530258
