,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,23.468575348761206,7.208617833004576,24.793999999999997,7.631000000000004,0.10937148828845614,0.03359459401271381
PHY_POWER_m12dBm,24.794824793961745,7.6036454179626976,26.403614298724953,8.119000000000003,0.11555225868068102,0.03543555599015846
PHY_POWER_m10dBm,26.074819371563862,8.003603631931556,28.091000000000008,8.627000000000002,0.1215174657660309,0.03729949636425006
PHY_POWER_m7dBm,27.463274691344445,8.436282906549145,29.923000000000002,9.219000000000001,0.12798813654556085,0.0393159279334119
PHY_POWER_m5dBm,28.42002756842857,8.73643867956251,31.022999999999996,9.551000000000004,0.1324469281226336,0.04071475522160418
PHY_POWER_m4dBm,29.60384480270819,9.094680323407381,32.365999999999985,9.949000000000003,0.1379639163015313,0.04238428228798764
PHY_POWER_m3dBm,30.80486608499833,9.478675340219716,33.71000000000001,10.362000000000002,0.14356108115530317,0.04417382877131658
PHY_POWER_m2dBm,31.958063267399503,9.833159029775643,34.931,10.767000000000003,0.14893536954967423,0.04582584250136011
PHY_POWER_m1dBm,33.000469845189514,10.154108392883803,36.274,11.143,0.15379333630395306,0.04732157494300678
PHY_POWER_0dBm,34.19224005110041,10.509203816735566,37.373999999999995,11.512500000000003,0.1593473880169896,0.04897643956149916
PHY_POWER_0_7dBm,34.98747726738182,10.769762134565067,38.595,11.896,0.1630534620583207,0.05019072933339422
PHY_POWER_1_3dBm,36.05237457735511,11.101689984336353,39.816,12.248000000000001,0.16801624322144318,0.05173762523117989
PHY_POWER_1_8dBm,36.90929390154233,11.35205939202154,40.855,12.565602914389805,0.17200977672046064,0.05290443124021501
PHY_POWER_2_3dBm,38.015044373811,11.70624629625062,42.015,12.922,0.17716294741917,0.054555061850387956
PHY_POWER_2_8dBm,38.64399789893302,11.90820485760166,42.86999999999999,13.193000000000001,0.18009408329276264,0.05549625696339787
PHY_POWER_3dBm,39.53923229542572,12.175762492366552,43.846999999999994,13.508000000000006,0.18426617797070366,0.05674316591642555
