,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,24.373958259981713,7.492717570012177,26.13799999999999,8.036000000000001,0.11359087847297147,0.03491859474974706
PHY_POWER_m12dBm,25.671724887368455,7.89951330706818,27.358999999999995,8.427000000000003,0.11963890931332119,0.036814400290988106
PHY_POWER_m10dBm,26.908696387259248,8.274271944539155,28.947000000000003,8.925,0.1254036143242967,0.03856090212674261
PHY_POWER_m7dBm,28.151435049078962,8.647472954992493,30.350999999999992,9.346,0.1311951962578801,0.040300144894463145
PHY_POWER_m5dBm,29.15378631566218,8.958910900240443,31.755999999999986,9.751000000000001,0.13586649173214127,0.04175155091613565
PHY_POWER_m4dBm,30.143646122611067,9.271359202760845,32.97699999999999,10.1395,0.14047957278516898,0.043207665543974025
PHY_POWER_m3dBm,31.39725107285401,9.65679110241621,34.199,10.552000000000001,0.1463217952931954,0.04500390838669858
PHY_POWER_m2dBm,32.36830877826106,9.95024358590247,35.664,10.963000000000001,0.1508472522021061,0.046371496081472306
PHY_POWER_m1dBm,33.45631457189757,10.30397721109636,36.763999999999996,11.290000000000003,0.15591772670463142,0.04802001425823368
PHY_POWER_0dBm,34.4319901008437,10.590288997139945,37.863,11.671000000000003,0.16046470423103237,0.04935432389095562
PHY_POWER_0_7dBm,35.54251862734583,10.953330312696783,39.08399999999999,12.0545,0.16564014227639012,0.0510462190487393
PHY_POWER_1_3dBm,36.349509938566946,11.182382122678394,40.18299999999999,12.355,0.16940099437041234,0.05211367785186498
PHY_POWER_1_8dBm,37.26545803592435,11.467193181837843,41.283,12.697000000000003,0.1736696218910107,0.053440993590394656
PHY_POWER_2_3dBm,38.27111808751176,11.777334030124399,42.25999999999999,12.990000000000006,0.17835633742102547,0.054886354702096546
PHY_POWER_2_8dBm,38.902524592181294,11.976593129266858,43.236999999999995,13.283000000000005,0.1812989050078715,0.055814969409396106
PHY_POWER_3dBm,39.84048078944136,12.272929136723942,44.092,13.552000000000003,0.1856700977078634,0.05719599529986419
