,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,25.3121144286537,7.677009654049512,26.870000000000005,8.134,0.11796300310728883,0.03577745811113165
PHY_POWER_m12dBm,26.539404765099533,8.043719363865545,28.336,8.613,0.12368259062652893,0.03748644922526523
PHY_POWER_m10dBm,28.07353576087108,8.521614354906513,30.168000000000006,9.150000000000002,0.13083215926218292,0.03971360130582423
PHY_POWER_m7dBm,29.164459797047847,8.849879963918646,31.512000000000015,9.575,0.1359162337606633,0.0412434299246487
PHY_POWER_m5dBm,30.41161673684539,9.224446366910707,32.977000000000004,10.02,0.1417284063620195,0.04298903588279894
PHY_POWER_m4dBm,31.741404866734694,9.641158371687991,34.443,10.440000000000001,0.1479256682201831,0.04493105458111603
PHY_POWER_m3dBm,32.959394696861324,10.018611169455216,35.786000000000016,10.860000000000003,0.1536019122384714,0.04669011211387855
PHY_POWER_m2dBm,34.2364166460333,10.404488479222312,37.00800000000001,11.251227686703098,0.15955326587124893,0.04848843071817341
PHY_POWER_m1dBm,35.43579307622379,10.765140608116756,38.596000000000004,11.719999999999999,0.16514276515864193,0.05016919145909616
PHY_POWER_0dBm,36.639223890963365,11.145465514394964,39.93900000000001,12.145,0.1707511592475147,0.05194163398765428
PHY_POWER_0_7dBm,37.609402914593176,11.447603951389631,41.283,12.5625,0.17527252120254427,0.05334970115969926
PHY_POWER_1_3dBm,38.93271274374058,11.838051493777332,42.62600000000002,12.972671390611161,0.18143959199102455,0.055169318591729154
PHY_POWER_1_8dBm,39.72015081143781,12.102764575184501,43.84700000000001,13.365999999999996,0.1851093193655743,0.05640297096528295
PHY_POWER_2_3dBm,40.67980971915259,12.385421673283881,45.06900000000002,13.716915300546454,0.18958165402697844,0.05772024851771253
PHY_POWER_2_8dBm,41.702137876000776,12.705765089494523,46.168000000000006,14.059999999999999,0.19434604855762397,0.05921315704214137
PHY_POWER_3dBm,42.609805735950886,12.962739541540094,47.26700000000001,14.386999999999997,0.19857608737502414,0.06041074478893309
