,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,22.761517655324457,6.984292016515065,24.060999999999993,7.381999999999998,0.10607636060866443,0.0325491599355969
PHY_POWER_m12dBm,24.310656075413437,7.479767012682714,25.648999999999987,7.8825,0.11329586891081209,0.034858240778181296
PHY_POWER_m10dBm,25.585826094999888,7.855029399267018,27.60299999999998,8.457483613817539,0.11923859192618046,0.036607090254959174
PHY_POWER_m7dBm,27.053273224877074,8.311720608193438,29.434999999999988,9.035209920283437,0.1260773912224387,0.038735425548697966
PHY_POWER_m5dBm,27.98277567233819,8.604341694645168,31.144999999999982,9.541,0.13040918659287862,0.04009913865246334
PHY_POWER_m4dBm,29.670140012055818,9.108883080751944,32.73299999999999,10.059000000000001,0.13827287437013974,0.04245047193458912
PHY_POWER_m3dBm,31.015006194446645,9.541783888783891,34.320999999999984,10.569500000000001,0.1445404050459915,0.04446793592429092
PHY_POWER_m2dBm,32.47902906792558,9.991172395180467,36.03099999999999,11.085,0.15136324615079613,0.046562238157550014
PHY_POWER_m1dBm,33.477521594335585,10.305977364985262,37.251999999999995,11.450211691762624,0.15601655859245347,0.04802933565096349
PHY_POWER_0dBm,34.6777758506322,10.671032895624585,38.83999999999999,11.950000000000003,0.16161014884601116,0.04973061773138865
PHY_POWER_0_7dBm,36.00581486907895,11.062455338044057,40.30499999999999,12.370000000000001,0.16779925925404143,0.05155477852686616
PHY_POWER_1_3dBm,37.066007571981466,11.394577049937896,41.40499999999999,12.7635,0.1727401153591024,0.053102577887625235
PHY_POWER_1_8dBm,38.33181494400118,11.78077177349459,42.62599999999999,13.132000000000001,0.17863920527431545,0.054902375747394955
PHY_POWER_2_3dBm,39.18177940135081,12.061895712747997,43.846999999999994,13.503000000000004,0.1826003267446703,0.05621250826173531
PHY_POWER_2_8dBm,40.06021040634816,12.332317734535021,44.823999999999984,13.792000000000005,0.1866941119424308,0.05747276622581242
PHY_POWER_3dBm,40.82322458050954,12.578307815051692,45.962307351638614,14.134000000000004,0.19025001572325498,0.05861916309100286
