,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,23.70840736043809,7.273863301959484,25.526000000000003,7.796999999999997,0.11048918647279436,0.03389865993651319
PHY_POWER_m12dBm,25.250229143546477,7.743131374092201,26.87000000000001,8.240999999999996,0.11767459677521507,0.036085607660978236
PHY_POWER_m10dBm,26.29529568370452,8.076835435684636,28.397000000000006,8.727499999999997,0.1225449598526051,0.03764078130581534
PHY_POWER_m7dBm,27.39679184077543,8.401748247475707,29.67900000000001,9.100999999999996,0.12767830400547972,0.03915498475708927
PHY_POWER_m5dBm,28.54915396510221,8.761250103632392,30.943468965517244,9.506300265721876,0.13304870074716008,0.0408303848385175
PHY_POWER_m4dBm,29.710985938795492,9.113609943853973,32.127734913793105,9.869289655172413,0.13846323018559298,0.04247250071327388
PHY_POWER_m3dBm,30.7639543827631,9.440118212933871,33.33882284482759,10.231266695055186,0.14337041880382312,0.043994139534423764
PHY_POWER_m2dBm,31.906095735700152,9.813251811539878,34.687000000000005,10.634999999999998,0.14869318329847786,0.045733068140165506
PHY_POWER_m1dBm,33.01174643855269,10.140500842382462,36.06524200696376,11.084181896551723,0.1538458890380081,0.047258159161342364
PHY_POWER_0dBm,34.069191510890306,10.47309097525205,37.313,11.475999999999999,0.15877394025654806,0.04880814152207064
PHY_POWER_0_7dBm,34.879673472726324,10.730091169656323,38.595000000000006,11.880999999999993,0.1625510599614999,0.050005849236949104
PHY_POWER_1_3dBm,35.92558335508149,11.043352784203881,39.69400000000001,12.186499999999997,0.1674253532983908,0.05146575417355275
PHY_POWER_1_8dBm,36.746288104318324,11.294914700973024,40.794000000000004,12.540999999999997,0.17125011464566084,0.052638117677722175
PHY_POWER_2_3dBm,37.65933400037191,11.570633655723956,41.89300000000001,12.873000000000005,0.17550521692788437,0.05392306113859734
PHY_POWER_2_8dBm,38.43557073211157,11.828531655230961,42.74800000000001,13.1735,0.17912274229330946,0.05512495292851315
PHY_POWER_3dBm,39.16918789622198,12.052527783962777,43.725,13.454,0.18254164607763937,0.05616885054931801
