,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,24.699109616329448,7.7061443570646375,26.137000000000008,8.143999999999998,0.11510619362245451,0.03591323566823738
PHY_POWER_m12dBm,26.010315736377002,8.12292837743362,27.847000000000016,8.705999999999996,0.12121685703816557,0.037855589983537045
PHY_POWER_m10dBm,27.208074663613715,8.490930874190619,29.556999999999995,9.242999999999999,0.1267988182154374,0.03957060592149023
PHY_POWER_m7dBm,27.83630552361137,8.673029162458338,30.412000000000013,9.472999999999999,0.1297265862254503,0.04041924545357295
PHY_POWER_m5dBm,29.223527977672276,9.10847820596912,32.00000000000001,9.991,0.13619151143429192,0.04244858508134345
PHY_POWER_m4dBm,30.370691925021802,9.46316535672643,33.46500000000001,10.440000000000001,0.14153768291542962,0.0441015470093101
PHY_POWER_m3dBm,31.72941529704281,9.896265331231143,34.931000000000004,10.884999999999998,0.14786979277560872,0.04611993918204901
PHY_POWER_m2dBm,33.02741230387906,10.30313028652234,36.39700000000001,11.343999999999998,0.1539188972620102,0.04801606730364644
PHY_POWER_m1dBm,34.05457753816509,10.62100166324855,37.679000000000016,11.768999999999997,0.15870583420737333,0.049497455289077834
PHY_POWER_0dBm,35.24734514088796,10.999318483715886,38.96200000000001,12.144999999999998,0.16426453412645214,0.051260539459470525
PHY_POWER_0_7dBm,36.292893712641956,11.315193003082374,40.183000000000014,12.540999999999993,0.16913714363389887,0.052732621415111564
PHY_POWER_1_3dBm,37.34505969549886,11.648729717188274,41.404,12.931999999999999,0.17404059251229959,0.05428701516413516
PHY_POWER_1_8dBm,38.19539964143096,11.91177468530518,42.504,13.269000000000002,0.1780034638862805,0.05551289356630472
PHY_POWER_2_3dBm,39.14711118681539,12.215430767234661,43.419500000000006,13.544499999999996,0.1824387611547828,0.05692803347637268
PHY_POWER_2_8dBm,40.09223346536534,12.491833618411837,44.458000000000006,13.873999999999999,0.18684335021412857,0.05821616412559916
PHY_POWER_3dBm,40.58117264716625,12.661187827232773,45.31300000000001,14.136000000000003,0.1891219719541111,0.05900541194279303
