,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,24.838305620326953,7.570751889494904,26.259000000000015,8.007000000000001,0.1157548940183998,0.03528226103679559
PHY_POWER_m12dBm,26.006894605942996,7.9218976368035925,27.72500000000001,8.469,0.12120091341476127,0.036918718828484284
PHY_POWER_m10dBm,27.03959624287257,8.237440773625202,29.312000000000012,8.926000000000002,0.12601365186651708,0.03838925642953253
PHY_POWER_m7dBm,28.225852744927764,8.594663061177446,30.534000000000006,9.317,0.13154200785717943,0.04005403295127646
PHY_POWER_m5dBm,29.514498852603943,8.995220572188643,32.0,9.751000000000001,0.13754753399496902,0.041920766252014574
PHY_POWER_m4dBm,30.496986292931126,9.304269039400708,33.404,10.183500000000002,0.142126257329318,0.04336103649892728
PHY_POWER_m3dBm,31.694420875353355,9.659995765003513,34.80900000000001,10.587,0.14770670695019789,0.04501884319681922
PHY_POWER_m2dBm,32.850338767390426,10.014391753366503,36.030000000000015,10.983,0.15309367477046748,0.04667044820968015
PHY_POWER_m1dBm,33.67792381839398,10.283911208822625,37.251000000000005,11.3615,0.1569505006479835,0.04792649990978841
PHY_POWER_0dBm,34.95602301344353,10.655276209653005,38.47300000000001,11.735000000000003,0.16290687461042028,0.049657186252502705
PHY_POWER_0_7dBm,35.91577150735104,10.965813960735098,39.69400000000002,12.087000000000003,0.16737962677374277,0.051104397065296736
PHY_POWER_1_3dBm,36.81744369752815,11.24948881824044,40.916,12.474017271922058,0.1715817237447968,0.052426417720334614
PHY_POWER_1_8dBm,37.918470062769444,11.572674327218504,41.77000000000001,12.756,0.17671287850906017,0.05393257135705542
PHY_POWER_2_3dBm,38.66361425013581,11.816387076635504,42.748000000000005,13.074000000000005,0.18018550211533513,0.05506835509008955
PHY_POWER_2_8dBm,39.65754088955416,12.129373850387426,43.72500000000001,13.354499999999998,0.1848175359813562,0.05652697917575042
PHY_POWER_3dBm,40.17071879308683,12.289200789391627,44.58,13.64,0.1872091183519103,0.057271826697498286
