,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,23.91213206205854,7.317435741880457,26.04687261146497,7.951499999999999,0.11143861239602265,0.034101722224346855
PHY_POWER_m12dBm,25.21661411975987,7.7284952006942325,27.786499999999997,8.4915,0.11751793940996146,0.036017398149169585
PHY_POWER_m10dBm,26.724618947411795,8.177874445629726,29.069000000000003,8.899,0.12454575127733898,0.038111657220891715
PHY_POWER_m7dBm,27.52543786345381,8.438028597322367,30.168000000000006,9.2365,0.12827783792492864,0.03932406344207066
PHY_POWER_m5dBm,28.921424603599274,8.847616601330262,31.52413375796178,9.663999999999998,0.1347836076673054,0.04123288189047325
PHY_POWER_m4dBm,29.847196031136153,9.14909926317559,32.955180327868845,10.089000000000002,0.13909801522464277,0.04263789292881603
PHY_POWER_m3dBm,31.169705830838783,9.556889938746437,34.320999999999984,10.521500000000001,0.14526135760567827,0.04453833521960437
PHY_POWER_m2dBm,31.914829657492767,9.776535806150175,35.298,10.805,0.14873388632415613,0.04556195915319877
PHY_POWER_m1dBm,33.193236069353176,10.17134591973269,36.763999999999996,11.247,0.15469169202070254,0.04740190764057611
PHY_POWER_0dBm,34.303061973021826,10.534522879845458,37.939198848538524,11.628,0.15986385560632593,0.04909443494780814
PHY_POWER_0_7dBm,35.223128737538595,10.791151944444277,39.08399999999999,11.964903460837888,0.1641516775070812,0.05029041307243379
PHY_POWER_1_3dBm,36.20892867388678,11.108782768178102,40.3490229659021,12.35626775956284,0.16874583819177558,0.05177067999966721
PHY_POWER_1_8dBm,36.7912833090565,11.281206130159138,41.038,12.585,0.171459807498121,0.05257423110727888
PHY_POWER_2_3dBm,37.77656124249719,11.588530275381295,42.25999999999999,12.969000000000001,0.17605153547294547,0.05400646543128096
PHY_POWER_2_8dBm,38.57571987464779,11.844190277822246,42.86999999999999,13.145445527015054,0.17977588463679417,0.055197927398923284
PHY_POWER_3dBm,39.401010020883135,12.087783260842528,44.213999999999984,13.543,0.18362201548292248,0.056333152980094295
