,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,24.406302710716844,7.500447995912493,26.016,8.006999999999998,0.11374161453863388,0.034954621145608614
PHY_POWER_m12dBm,25.825039124518867,7.924412592042529,27.603,8.5,0.12035340544458442,0.03693043936939372
PHY_POWER_m10dBm,27.044642564617213,8.315186722218662,28.946999999999996,8.906000000000002,0.1260371694303825,0.038751578810831806
PHY_POWER_m7dBm,28.29354994016878,8.698052720208286,30.41299999999999,9.355,0.13185749965361077,0.04053586368508944
PHY_POWER_m5dBm,29.758656912255177,9.12854505610154,32.12199999999999,9.854,0.1386853930241106,0.04254210338109657
PHY_POWER_m4dBm,30.899468950932842,9.466200984326573,33.261086520947174,10.224999999999998,0.14400196246530383,0.04411569405929431
PHY_POWER_m3dBm,32.08451915215447,9.854173164680072,34.68699999999999,10.648678961748633,0.14952469668662013,0.04592377546812254
PHY_POWER_m2dBm,33.10424925029039,10.177474802603225,35.92675068243858,11.055,0.15427698338609996,0.04743047030495323
PHY_POWER_m1dBm,34.26449093547401,10.536921937268804,37.25199999999999,11.438999999999998,0.15968410154291374,0.04910561536574922
PHY_POWER_0dBm,35.445357842112195,10.898092343964663,38.596,11.864,0.16518734019844727,0.0507887914562893
PHY_POWER_0_7dBm,36.41695189485558,11.195368211935389,39.573,12.173999999999996,0.1697152966671115,0.052174197414214946
PHY_POWER_1_3dBm,37.24905729058271,11.455428010072776,40.672000000000004,12.530999999999999,0.17359318887791136,0.05338616391595587
PHY_POWER_1_8dBm,38.067337960165055,11.710516735472964,41.892999999999994,12.878,0.17740665319519125,0.054574963539623544
PHY_POWER_2_3dBm,39.12902457004273,12.027981420758056,42.87099999999999,13.166,0.18235447141136502,0.056054456205567996
PHY_POWER_2_8dBm,39.914873781351744,12.264092949045473,43.725,13.429999999999996,0.18601679417846526,0.05715481568061469
PHY_POWER_3dBm,40.73451811437832,12.51548550181571,44.51899999999999,13.691499999999998,0.1898366136280105,0.058326389891341826
