,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,24.33438977169381,7.393514584693072,26.62599999999999,8.066000000000004,0.11340647595219382,0.0344562753295961
PHY_POWER_m12dBm,25.674206408513683,7.817247488061771,28.214,8.569000000000003,0.11965047404006064,0.036431013786852706
PHY_POWER_m10dBm,27.062794302303683,8.263317806167466,29.923000000000002,9.097000000000001,0.12612176265925507,0.03850985214186603
PHY_POWER_m7dBm,28.446165648747,8.638344357461012,31.41142402183803,9.561000000000003,0.13256874040578015,0.040257602546529055
PHY_POWER_m5dBm,29.648082825095784,9.004681928084484,33.099000000000004,10.074,0.1381700804284784,0.04196485936632496
PHY_POWER_m4dBm,30.882962177747793,9.399163046247974,34.68699999999998,10.509000000000002,0.1439250353266403,0.04380327462392229
PHY_POWER_m3dBm,32.04895156266343,9.74252034242738,35.90799999999999,10.931500000000003,0.14935893970565053,0.04540343560258281
PHY_POWER_m2dBm,33.44608793720738,10.174002650082006,37.251999999999995,11.315000000000005,0.15587006713264517,0.04741428890138839
PHY_POWER_m1dBm,34.53880820276956,10.515457910567225,38.83999999999999,11.828000000000003,0.16096251266678796,0.04900558575124861
PHY_POWER_0dBm,35.562649071732466,10.815987086871413,40.094117486338796,12.226500000000003,0.16573395694684867,0.050406153224903466
PHY_POWER_0_7dBm,36.75581247120644,11.188119085423052,41.403999999999996,12.585000000000004,0.17129450141247893,0.05214041403607361
PHY_POWER_1_3dBm,37.97241480970816,11.568647089098413,42.56499999999999,12.964000000000002,0.17696427925113134,0.05391380306710425
PHY_POWER_1_8dBm,38.92673706977522,11.844758530926555,43.602999999999994,13.264000000000006,0.1814117433318961,0.05520057565033264
PHY_POWER_2_3dBm,39.927588714432844,12.146343180817539,44.579999999999984,13.597000000000005,0.186076050061445,0.05660606198741748
PHY_POWER_2_8dBm,40.60314607736278,12.368492148161401,45.313,13.821000000000009,0.18922437556096333,0.0576413512122244
PHY_POWER_3dBm,41.596672455417114,12.666914948703813,46.839499999999994,14.266000000000002,0.19385454407382868,0.059032102263342434
