,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,23.857442831220098,7.353378434355996,25.159999999999997,7.775500000000001,0.11118374210750866,0.03426922731192565
PHY_POWER_m12dBm,25.387497306963958,7.821830168589574,26.765706096451314,8.253500000000003,0.11831431278287573,0.03645237062603991
PHY_POWER_m10dBm,26.699395545114758,8.232358008007122,28.594931907794965,8.825500000000002,0.12442820170273,0.038365569024907
PHY_POWER_m7dBm,28.028188344544912,8.644384870936326,30.411999999999992,9.389302321960697,0.13062082498475344,0.04028575337967524
PHY_POWER_m5dBm,29.47028500931623,9.096145364956431,32.0,9.880500000000001,0.13734148255079454,0.04239110987646469
PHY_POWER_m4dBm,30.594018865107216,9.455512291907421,33.587999999999994,10.408500000000002,0.14257846189110518,0.044065881142218294
PHY_POWER_m3dBm,32.591276973106034,10.059464928221768,35.542,10.945500000000003,0.15188635930378502,0.046880504429222536
PHY_POWER_m2dBm,33.307412506449154,10.289592506861457,37.007999999999996,11.437000000000005,0.155223792783833,0.0479529766776656
PHY_POWER_m1dBm,34.2585481102456,10.582636749781162,38.229,11.805500000000002,0.15965640596999503,0.049318661833504585
PHY_POWER_0dBm,35.56259569898423,10.999546908572043,39.44999999999999,12.201500000000003,0.16573370821181374,0.05126160399645706
PHY_POWER_0_7dBm,36.905818462788275,11.411903003206206,40.794,12.616500000000002,0.17199358000194076,0.053183322682177556
PHY_POWER_1_3dBm,37.57171088876099,11.627041037586416,42.136999999999986,13.027500000000003,0.17509686363063753,0.05418593859123651
PHY_POWER_1_8dBm,39.07655660370588,12.069404871805324,43.11399999999999,13.329499999999996,0.1821099529657222,0.05624750347936951
PHY_POWER_2_3dBm,39.58717549142761,12.239090395115522,44.214,13.691499999999998,0.18448960945821863,0.057038295333994016
PHY_POWER_2_8dBm,40.47798079708062,12.507133839594033,45.435,14.038500000000003,0.18864106307679823,0.058287468324382904
PHY_POWER_3dBm,41.44757919243946,12.827120500481795,46.28999999999999,14.292500000000004,0.1931597191079618,0.059778714248503104
