,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,24.436724700791004,7.59495845884269,25.649,7.959,0.11388339128825167,0.03539507182639748
PHY_POWER_m12dBm,25.430061627386262,7.8793129166101,26.86999999999999,8.329999999999998,0.11851267689332523,0.03672025964821046
PHY_POWER_m10dBm,26.704387929892057,8.268739288913215,28.336,8.7725,0.12445146790210886,0.03853511808271762
PHY_POWER_m7dBm,28.00456050031952,8.703584278665529,29.679000000000002,9.23357194899818,0.13051071124970243,0.04056164261593771
PHY_POWER_m5dBm,29.17632719468636,9.047091004974419,31.266999999999996,9.692961783439491,0.13597153984220195,0.04216249998947581
PHY_POWER_m4dBm,30.394532479901358,9.434581034586355,32.97699999999999,10.2035,0.14164878795397798,0.043968334412988544
PHY_POWER_m3dBm,31.585661637258063,9.785516466993993,34.321,10.636,0.14719985216422005,0.04560381206619864
PHY_POWER_m2dBm,32.659004308990816,10.133464184358868,35.724999999999994,11.0855,0.15220199156579714,0.04722536595812571
PHY_POWER_m1dBm,33.77538919978315,10.467083222111313,37.00800000000001,11.481000000000002,0.15740472224689694,0.04878014336314929
PHY_POWER_0dBm,34.879708173423815,10.833952536446555,38.351,11.881999999999998,0.16255122167847133,0.050489878288253257
PHY_POWER_0_7dBm,35.98230121750127,11.173730975906341,39.572,12.2705,0.16768967769530052,0.05207336058574208
PHY_POWER_1_3dBm,36.26182185827926,11.26115473984494,40.42699999999999,12.576,0.1689923382971868,0.05248078485550066
PHY_POWER_1_8dBm,38.11831747742255,11.8418225483434,41.649,12.9445,0.17764423496535922,0.05518689297978546
PHY_POWER_2_3dBm,39.10052818710385,12.148487200024912,44.57129052823315,13.787682427668635,0.18222166864142492,0.05661605384112588
PHY_POWER_2_8dBm,38.11038015841678,11.841973951218122,43.494923497267756,13.516320291173791,0.1776072443777424,0.0551875985683222
PHY_POWER_3dBm,39.86547546471414,12.382400416417635,44.458,13.835999999999995,0.18578658133728043,0.05770616844020239
