,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,23.357604797318377,7.2166002644340885,25.038000000000004,7.735430469441985,0.10885432803534628,0.03363179483946328
PHY_POWER_m12dBm,24.635239235214904,7.6278443973294605,26.44250000000001,8.189915377616016,0.11480853607246536,0.03554833140788505
PHY_POWER_m10dBm,25.937621021609452,8.009604925406329,27.969,8.631999999999998,0.12087807511268957,0.03732746441894607
PHY_POWER_m7dBm,27.18021633963864,8.40502785625069,29.43500000000001,9.091518214936247,0.12666898901579077,0.03917026884175966
PHY_POWER_m5dBm,27.919730278907267,8.627152770964228,30.656,9.470500000000001,0.13011537376415766,0.04020544597318483
PHY_POWER_m4dBm,29.64931320586402,9.172615441321483,32.00000000000001,9.903000000000002,0.13817581441845364,0.04274748626221829
PHY_POWER_m3dBm,30.752588092692438,9.51225591082167,33.50789526411658,10.372,0.14331744805281363,0.044330325573092196
PHY_POWER_m2dBm,31.946801566362648,9.88813216291454,34.931000000000004,10.808499999999999,0.14888288621889012,0.04608203587049012
PHY_POWER_m1dBm,33.19534196818191,10.272809328388533,36.275,11.222000000000001,0.15470150622057025,0.04787476139699705
PHY_POWER_0dBm,34.23061345624707,10.595940294032514,37.618000000000016,11.639499999999998,0.1595262210466566,0.0493806608433575
PHY_POWER_0_7dBm,35.25408019359984,10.926956783492187,38.96200000000001,12.046999999999997,0.16429592174704066,0.0509233094942538
PHY_POWER_1_3dBm,36.03739619312266,11.160287605387008,40.061000000000014,12.393999999999998,0.16794643889155458,0.05201070993825017
PHY_POWER_1_8dBm,37.17581385372604,11.510343658336087,41.160000000000004,12.748500000000003,0.17325184972215393,0.053642089386148534
PHY_POWER_2_3dBm,38.11414967425932,11.801971472632896,42.25900000000001,13.107999999999993,0.17762481159482735,0.05500117350616672
PHY_POWER_2_8dBm,38.7274432536822,12.006176370043924,43.23600000000001,13.3885,0.1804829668318803,0.05595283730397857
PHY_POWER_3dBm,39.39652854519521,12.22090321514657,43.847000000000016,13.588500000000003,0.18360113029247382,0.05695353693211347
