,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,24.881873820437495,7.559577608012226,26.259,7.975500000000002,0.11595793654728473,0.035230185110662345
PHY_POWER_m12dBm,25.779161020627782,7.84432132938236,27.48100000000001,8.385500000000002,0.12013959798384799,0.036557187032348615
PHY_POWER_m10dBm,27.10232162529823,8.240864954186062,28.98822222222222,8.808,0.12630597333586097,0.038405214267558246
PHY_POWER_m7dBm,28.382808619737872,8.633799222501853,30.168000000000006,9.180000000000003,0.13227347525000116,0.04023642068237379
PHY_POWER_m5dBm,29.389209052080666,8.953839596187713,31.48565987599647,9.563500000000001,0.13696364120442017,0.041727916926276115
PHY_POWER_m4dBm,30.393140819712706,9.264543241325567,32.855000000000004,9.9885,0.14164230234742697,0.043175900861405325
PHY_POWER_m3dBm,31.75776429855445,9.668366752256581,34.32000000000001,10.444695748449957,0.1480019086983157,0.04505785482495198
PHY_POWER_m2dBm,32.64433760739878,9.94654569920107,35.542,10.821,0.15213363978229236,0.04635426268037983
PHY_POWER_m1dBm,33.745239059721484,10.282014935501582,36.885000000000005,11.237000000000002,0.1572642124101623,0.047917662635593355
PHY_POWER_0dBm,34.68881571397242,10.562767271227575,38.107,11.615500000000003,0.1616615983381971,0.04922606335197656
PHY_POWER_0_7dBm,35.811547633046914,10.880436216261455,39.328,11.994000000000003,0.16689390831497689,0.050706507937344755
PHY_POWER_1_3dBm,36.73232957167917,11.197851301438204,40.42700000000001,12.346000000000004,0.17118506316868026,0.05218576945003052
PHY_POWER_1_8dBm,37.702165105211634,11.49154514912815,41.649,12.683,0.1757048243438329,0.053554481983520884
PHY_POWER_2_3dBm,38.63537991849293,11.782124117071595,42.687000000000005,13.005000000000003,0.18005392059294953,0.05490867812525539
PHY_POWER_2_8dBm,39.234836712685365,11.973722351907274,43.72500000000001,13.323000000000004,0.1828475917370701,0.05580159061721565
PHY_POWER_3dBm,39.90341867057522,12.173472216155794,44.58,13.596,0.1859634094929648,0.056732492455679004
