,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,24.789594953419016,7.701019365135605,26.626000000000005,8.278500000000001,0.115527885857228,0.0358893514747397
PHY_POWER_m12dBm,26.058228505772853,8.096475775705107,27.968999999999994,8.690999999999999,0.121440146727419,0.037732311924381146
PHY_POWER_m10dBm,27.352376752557745,8.502998944066235,29.434999999999988,9.146,0.1274713146919555,0.03962684720343643
PHY_POWER_m7dBm,28.588838176751594,8.887793518066406,30.778999999999996,9.565999999999999,0.133233642577891,0.04142011989333333
PHY_POWER_m5dBm,29.805817375412317,9.259945115956544,32.244,10.010000000000002,0.13890517671217933,0.04315447204404111
PHY_POWER_m4dBm,31.12633826484054,9.673264769614374,33.831999999999994,10.5305,0.1450592500995264,0.04508068124028072
PHY_POWER_m3dBm,32.382119385931894,10.058262465833643,35.053,10.904,0.15091161429876854,0.04687490054832879
PHY_POWER_m2dBm,33.28986988743583,10.347089848993942,36.397000000000006,11.315,0.15514203825372402,0.04822093371332743
PHY_POWER_m1dBm,34.589589142103804,10.757000254038656,37.8015,11.745000000000001,0.1611991689967584,0.0501312546594615
PHY_POWER_0dBm,35.55789355293844,11.055906892254004,38.962,12.106,0.16571179462295987,0.051524260557565045
PHY_POWER_0_7dBm,36.606605984947514,11.386162255686319,40.18300000000001,12.492,0.17059914878787702,0.053063362104082384
PHY_POWER_1_3dBm,37.71016866175009,11.734440980247317,41.282,12.8265,0.1757421236207256,0.05468645860135027
PHY_POWER_1_8dBm,38.67306296738032,12.023290064855136,42.38199999999999,13.181000000000004,0.18022953632926125,0.05603259290242461
PHY_POWER_2_3dBm,39.55366117364252,12.307660974342781,43.358999999999995,13.496500000000001,0.18433342141694833,0.05735785739481091
PHY_POWER_2_8dBm,40.484134347605476,12.580902286985683,44.336,13.791130646589904,0.18866974070077672,0.05863125420657022
PHY_POWER_3dBm,41.17218299402451,12.815924205221188,45.43499999999999,14.124000000000002,0.1918762798006322,0.05972653573072895
