,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,25.118838988313673,7.690154607515714,26.38199999999999,8.073979071883532,0.11706227427115554,0.03583871803435732
PHY_POWER_m12dBm,26.567174311903646,8.143906607438826,28.091999999999985,8.633000000000003,0.1238120060945719,0.03795335562134122
PHY_POWER_m10dBm,27.775925338041482,8.511432286409166,29.68375204731573,9.118680163785262,0.1294451941656097,0.039666149427350125
PHY_POWER_m7dBm,29.241208000919634,8.960534170904666,31.388999999999996,9.654000000000003,0.13627390631454356,0.041759115905735694
PHY_POWER_m5dBm,30.70398341356813,9.416891417023997,32.97699999999999,10.113,0.14309093383051386,0.043885894819988246
PHY_POWER_m4dBm,31.316197242422817,9.603962966655146,34.47164207650272,10.565500000000002,0.1459440570652033,0.04475771142988172
PHY_POWER_m3dBm,33.07921442100648,10.134670012927447,35.90799999999999,10.993000000000002,0.154160312625428,0.047230985526557384
PHY_POWER_m2dBm,34.095161910705,10.451337501183517,37.251999999999995,11.418000000000003,0.15889497109190848,0.048706762985071136
PHY_POWER_m1dBm,35.2854173146815,10.829326170345913,38.594999999999985,11.816,0.16444196331626432,0.050468317859540604
PHY_POWER_0dBm,36.54050028316924,11.186698660714288,39.93899999999998,12.245500000000003,0.1702910738885532,0.05213379437714287
PHY_POWER_0_7dBm,37.611060887237706,11.535782372368711,41.15999999999998,12.629000000000001,0.17528024791509406,0.053760642386172855
PHY_POWER_1_3dBm,38.56577855278711,11.828281125650598,42.25999999999999,12.962000000000003,0.1797295547189658,0.05512378537604534
PHY_POWER_1_8dBm,39.456665590380055,12.094565467968089,43.480999999999995,13.305019125683064,0.1838813892359927,0.05636476035617825
PHY_POWER_2_3dBm,40.39970638419439,12.38148041315747,44.335999999999984,13.587000000000003,0.18827627787339118,0.05770188091425337
PHY_POWER_2_8dBm,41.290150803863014,12.665978406061893,45.43499999999999,13.921499999999998,0.19242604964138427,0.059027737658287796
PHY_POWER_3dBm,42.05838781344969,12.894851826828777,46.16799999999998,14.149000000000001,0.1960062935994481,0.06009436510741695
