,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,23.336480289476576,7.229365489633142,24.91599999999999,7.748000000000001,0.10875588069341417,0.03369128510070027
PHY_POWER_m12dBm,24.565614509617223,7.6143838462100675,26.441999999999993,8.195500000000001,0.11448406133349506,0.035485600692993634
PHY_POWER_m10dBm,25.709368093466274,7.968683991061655,27.725,8.588999999999999,0.11981433936877553,0.037136759042717626
PHY_POWER_m7dBm,27.025003626448388,8.367916536147046,29.06799999999999,9.0215,0.12594564534491887,0.038997317554697444
PHY_POWER_m5dBm,27.8881568863891,8.654538952051489,30.168,9.365000000000002,0.12996823109023262,0.04033307482749485
PHY_POWER_m4dBm,29.237211941189233,9.08158320141446,31.63299999999999,9.825,0.13625528332641973,0.04232324527558387
PHY_POWER_m3dBm,30.23539368965342,9.394312916684456,32.977,10.227500000000001,0.1409071474378757,0.04378067138189031
PHY_POWER_m2dBm,31.32118791757385,9.727427930599138,34.075999999999986,10.572000000000003,0.1459673152971463,0.04533309986558187
PHY_POWER_m1dBm,32.392516177259864,10.062619957574181,35.17499999999999,10.934000000000001,0.15096006685816196,0.04689520793170358
PHY_POWER_0dBm,33.529107495992974,10.420468348315577,36.397,11.302920382165606,0.15625696631874814,0.04856290230579268
PHY_POWER_0_7dBm,34.51425768098839,10.724009862925815,37.39639526411658,11.629500000000002,0.16084809894266705,0.04997750829345467
PHY_POWER_1_3dBm,35.53153291710948,11.038818213590393,38.595000000000006,11.979000000000003,0.16558894515595995,0.051444621542816704
PHY_POWER_1_8dBm,36.34009887951015,11.293578224168233,39.571999999999996,12.302,0.16935713565636107,0.052631889244379684
PHY_POWER_2_3dBm,37.36244467746755,11.620081654468017,40.61702049975378,12.624000000000002,0.1741216124005343,0.054153505515179806
PHY_POWER_2_8dBm,38.00200765976042,11.808914873640376,41.52599999999999,12.9195,0.177102191928182,0.05503353210018813
PHY_POWER_3dBm,38.88084948630411,12.085224166689624,42.410596883903395,13.200500000000002,0.18119789169311473,0.05632122673693661
