,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,25.14351245206837,7.760978831681072,26.686500000000002,8.219499999999996,0.1171772609464002,0.03616878284181694
PHY_POWER_m12dBm,26.33025404177655,8.127196249188433,28.213000000000008,8.710999999999999,0.12270787760937726,0.03787547970750671
PHY_POWER_m10dBm,27.9470027758211,8.639046057084434,29.923000000000016,9.216499999999998,0.1302424728118195,0.04026087270379274
PHY_POWER_m7dBm,29.017530466548738,8.955116067368603,31.309738853503195,9.668,0.1352314934510747,0.041733865713142665
PHY_POWER_m5dBm,30.339615300346953,9.3607792332192,32.732,10.10528415300546,0.1413928553474516,0.043624393090009136
PHY_POWER_m4dBm,31.626750158207336,9.77128928358417,34.07599999999999,10.543,0.14739133855063297,0.04553750858588247
PHY_POWER_m3dBm,33.00984474444232,10.198038831263236,35.664,11.027408014571947,0.15383702650110376,0.0475263056245808
PHY_POWER_m2dBm,34.13100801854225,10.559604805123579,37.251000000000005,11.532499999999997,0.1590620260624487,0.04921132519172117
PHY_POWER_m1dBm,35.478845743866614,10.962365447624787,38.71700000000001,11.978999999999996,0.1653434051320919,0.05108832582937159
PHY_POWER_0dBm,36.63223230779375,11.33556785179388,40.18300000000001,12.43074840764331,0.17071857610834285,0.05282757509227831
PHY_POWER_0_7dBm,37.80978867616636,11.712145081018882,41.52600000000001,12.841499999999996,0.17620638653733256,0.05458255217988647
PHY_POWER_1_3dBm,39.14544932480544,12.110895415157357,42.992000000000004,13.278999999999996,0.1824310163164764,0.056440863425973514
PHY_POWER_1_8dBm,39.78359974138513,12.330564123353561,43.968999999999994,13.595999999999997,0.18540501281076732,0.05746459380537593
PHY_POWER_2_3dBm,40.57402217795267,12.554774471713486,45.068,13.962999999999997,0.1890886483523062,0.05850948976200641
PHY_POWER_2_8dBm,41.610621729757625,12.87672349934737,46.045,14.265999999999995,0.19391955240401038,0.06000988097800742
PHY_POWER_3dBm,42.00493073557432,13.01087404955799,47.022000000000006,14.553999999999995,0.19575716555993594,0.060635067855063646
