,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,24.498299356829488,7.480877891679965,26.137,7.957999999999998,0.11417034998394149,0.03486341784953871
PHY_POWER_m12dBm,25.758214272198572,7.877821555160217,27.23700000000001,8.325,0.12004197906082173,0.03671330940010524
PHY_POWER_m10dBm,26.927271997326976,8.236521297215331,28.569676069153775,8.720000000000002,0.12549018294164058,0.038384971358883836
PHY_POWER_m7dBm,28.05004809957574,8.583871961607258,30.046000000000006,9.190916287534122,0.13072269882693657,0.040003742782285745
PHY_POWER_m5dBm,29.5359552809461,9.041484681982555,31.63300000000001,9.692,0.1376475281985482,0.04213637263064239
PHY_POWER_m4dBm,30.56308688899743,9.36109741265291,32.980211748633884,10.101852459016392,0.1424343084342994,0.04362587591364417
PHY_POWER_m3dBm,31.699813045106016,9.700148836355867,34.504,10.559500000000002,0.1477318362826004,0.04520597007213639
PHY_POWER_m2dBm,32.59546456469299,9.981588710689108,35.786,10.9455,0.15190587489505564,0.04651757495066463
PHY_POWER_m1dBm,33.7947876381796,10.357576184382205,37.31300000000001,11.4245,0.1574951255221858,0.0482698035782878
PHY_POWER_0dBm,35.068914052938936,10.741479645108917,38.656,11.825,0.16343298498655334,0.050058923379332126
PHY_POWER_0_7dBm,36.13473073365259,11.077008263148464,39.75600000000001,12.179000000000002,0.16840005072786884,0.051622600073507385
PHY_POWER_1_3dBm,37.162161873712876,11.383408690740263,40.672,12.487000000000002,0.1731882268839571,0.05305052956134072
PHY_POWER_1_8dBm,38.02816607722555,11.65421419455031,41.893,12.849,0.17722409898930158,0.054312574681176826
PHY_POWER_2_3dBm,39.01838037609208,11.95608625689325,42.93125,13.185999999999996,0.18183883209440505,0.05571940045736932
PHY_POWER_2_8dBm,39.63820621491173,12.152809549708277,43.817249317561426,13.425,0.18472742986669904,0.05663619745064402
PHY_POWER_3dBm,40.75890037478058,12.493716107978194,44.946,13.762,0.18995024319727075,0.05822493716284153
