,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,24.74648502618976,7.533948232376293,26.259999999999998,7.994558743169398,0.11532697903476424,0.03511074356316535
PHY_POWER_m12dBm,25.85199268256293,7.871478437580045,27.69190395308867,8.416415300546449,0.1204790181293827,0.03668374832961748
PHY_POWER_m10dBm,27.39768017639271,8.351659456810928,29.106871474067333,8.861999999999998,0.12768244394951628,0.03892155407371101
PHY_POWER_m7dBm,28.588063667061114,8.7083014473559,30.53499999999999,9.297,0.13323003310112122,0.04058362621538961
PHY_POWER_m5dBm,29.717440611932034,9.049280090037707,31.878000000000007,9.712,0.13849331114265442,0.04217270186529501
PHY_POWER_m4dBm,30.888193509158267,9.421108498959459,33.222,10.151999999999997,0.1439494150980406,0.043905547846244064
PHY_POWER_m3dBm,32.18447355143229,9.813700066300063,34.71491901728844,10.597561419472246,0.14999051794962961,0.04573515715875846
PHY_POWER_m2dBm,33.262603042671955,10.160287121037769,36.030999999999985,11.009500000000001,0.15501496554699018,0.04735036990324133
PHY_POWER_m1dBm,34.330357954030475,10.482690924577653,37.496,11.450639344262296,0.15999106409780203,0.0488528805285775
PHY_POWER_0dBm,35.57448487473228,10.864756595048748,38.839999999999996,11.847000000000001,0.16578911578669903,0.05063343560626594
PHY_POWER_0_7dBm,36.49333240676091,11.14759360732856,40.18399999999999,12.269499999999999,0.1700712556522299,0.051951551619547336
PHY_POWER_1_3dBm,37.52033145539641,11.453740435963338,41.282999999999994,12.613999999999997,0.17485741811632777,0.05337829925058086
PHY_POWER_1_8dBm,38.58975618728485,11.784462612118205,42.382,12.942,0.1798412985948373,0.05491957630206426
PHY_POWER_2_3dBm,39.42996042225877,12.048982516601082,43.481,13.293000000000006,0.1837569341321352,0.05615232840589998
PHY_POWER_2_8dBm,40.316830767182495,12.312911344768981,44.33599999999999,13.547000000000004,0.18789004950457402,0.05738232589445545
PHY_POWER_3dBm,40.94511722287706,12.510510692148669,45.312999999999995,13.831,0.1908180766093135,0.05830320559791326
