,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,24.43288814038597,7.553769273067164,25.894000000000005,7.985500000000002,0.11386551162085937,0.035203116307891885
PHY_POWER_m12dBm,25.78471124789626,7.962145523781562,27.42000000000001,8.457,0.12016546391766253,0.03710628757664344
PHY_POWER_m10dBm,27.009406580293984,8.360839242247028,29.10174795268427,9.009,0.12587295784150376,0.03896433497457076
PHY_POWER_m7dBm,28.346586070288957,8.769077732020232,30.53500000000001,9.444,0.13210466593439693,0.04086686423080377
PHY_POWER_m5dBm,29.683306647289445,9.183233724606266,32.0,9.884000000000002,0.13833423533772524,0.04279697104894552
PHY_POWER_m4dBm,30.895562921245453,9.55911716985312,33.343999999999994,10.2795,0.14398375904759053,0.04454871486887069
PHY_POWER_m3dBm,32.24674616690325,9.979634834490874,34.81000000000002,10.751000000000001,0.15028072937202996,0.0465084692276049
PHY_POWER_m2dBm,33.31428315911839,10.305132811615595,36.031000000000006,11.156500000000001,0.15525581234602542,0.04802539974698948
PHY_POWER_m1dBm,34.566192061627504,10.677667950572864,37.619,11.643,0.161090130698725,0.04976153932862175
PHY_POWER_0dBm,35.4977715530337,10.989009806833451,38.901,12.024000000000004,0.1654316057955283,0.05121249754315641
PHY_POWER_0_7dBm,36.72571201434249,11.36071200770445,40.062,12.395,0.17115422311622752,0.05294475535195867
PHY_POWER_1_3dBm,37.69261666604929,11.657933386152719,41.344,12.805000000000003,0.17566032539208576,0.054329907370304326
PHY_POWER_1_8dBm,38.8788681243059,12.026231812336263,42.504000000000005,13.142499999999998,0.18118865787694305,0.056046302439343595
PHY_POWER_2_3dBm,39.87194136191759,12.335833070694262,43.726,13.498999999999999,0.1858167146022849,0.057489148879716914
PHY_POWER_2_8dBm,40.69485421433592,12.575958295716276,44.825,13.861,0.1896517664562289,0.058608213537284404
PHY_POWER_3dBm,41.593503507865975,12.875824518547129,45.92400000000001,14.185499999999998,0.19383977570784033,0.060005691423822546
