,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,25.023192921046345,7.702745157571254,26.259999999999998,8.096,0.11661653129057374,0.03589739425042416
PHY_POWER_m12dBm,26.151635473394943,8.053112302686344,27.52098228520815,8.486499999999998,0.1218754547473359,0.03753022349289616
PHY_POWER_m10dBm,27.38582901075554,8.430513701140317,28.946999999999996,8.925999999999998,0.12762721351458667,0.03928904148749737
PHY_POWER_m7dBm,28.54874000962083,8.79130176715121,30.47399999999999,9.384999999999998,0.13304677157479186,0.04097043574129933
PHY_POWER_m5dBm,29.657138540289903,9.132495060963794,31.878000000000007,9.814999999999998,0.13821228312010234,0.04256051173797854
PHY_POWER_m4dBm,30.730362060546874,9.480824155336148,33.222,10.244999999999997,0.14321386723555554,0.04418384297558113
PHY_POWER_m3dBm,31.941185914329346,9.853567802111588,34.68699999999999,10.700328609388839,0.14885671538357248,0.04592095427407537
PHY_POWER_m2dBm,32.92982994805362,10.17067454021984,35.909,11.053499999999996,0.15346413052271232,0.04739877878526915
PHY_POWER_m1dBm,33.96536779236156,10.476744725460978,37.25199999999999,11.506,0.1582900866588592,0.04882516923219987
PHY_POWER_0dBm,35.020161361447094,10.811637837739188,38.474,11.876999999999999,0.16320578097662558,0.05038588425486758
PHY_POWER_0_7dBm,35.89890323067894,11.08510770293946,39.694999999999986,12.258000000000003,0.16730101490672178,0.05166034619874421
PHY_POWER_1_3dBm,37.22826564199613,11.482319159589686,40.79399999999999,12.575499999999996,0.17349629277254103,0.053511485755937394
PHY_POWER_1_8dBm,37.648331857463575,11.630269258650781,41.892999999999994,12.929499999999997,0.1754539432256521,0.05420098319181778
PHY_POWER_2_3dBm,38.79731718995547,11.979716920242781,42.87099999999999,13.25,0.18080860297677664,0.05582952733049108
PHY_POWER_2_8dBm,39.590551406846835,12.222442120561354,43.96999999999999,13.557500000000001,0.18450534236438143,0.0569607087511544
PHY_POWER_3dBm,40.424744337339426,12.490235287327096,44.946999999999996,13.865176262178915,0.18839296319231125,0.05820871536286354
