,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,23.81197903385304,7.3025930010130295,25.060666666666666,7.696487249544626,0.1109718654551177,0.03403255003835661
PHY_POWER_m12dBm,25.160537931433588,7.718230287921546,26.748000000000005,8.203,0.11725660543107069,0.03596956018838944
PHY_POWER_m10dBm,26.388493547149913,8.100542323300271,28.214,8.658000000000001,0.12297929337642785,0.03775126340976402
PHY_POWER_m7dBm,27.651809464362586,8.49529656404311,29.801000000000002,9.143500000000001,0.12886677227068205,0.03959095151083586
PHY_POWER_m5dBm,29.00739971112989,8.910157774934776,31.266999999999996,9.612499999999999,0.13518428070887883,0.04152434488448892
PHY_POWER_m4dBm,30.338915534681313,9.309649307890233,32.916000000000004,10.104,0.1413895942030844,0.0433861103674236
PHY_POWER_m3dBm,31.49516359761025,9.671563402087392,34.321,10.5335,0.14677810073123454,0.045072752292920834
PHY_POWER_m2dBm,32.67146790762591,10.02908647180776,35.786,10.977999999999998,0.1522600761453633,0.04673893056116575
PHY_POWER_m1dBm,33.75234271917786,10.371972849638816,37.007999999999996,11.384,0.1572973178626873,0.0483368969012572
PHY_POWER_0dBm,34.95918365256165,10.75176917726833,38.47300000000001,11.788999999999998,0.1629216042563044,0.05010687607477029
PHY_POWER_0_7dBm,35.96019908155987,11.056754576524966,39.45,12.146,0.16758667427620322,0.05152821105259664
PHY_POWER_1_3dBm,37.06657615119643,11.389156833278845,40.79400000000001,12.522000000000002,0.17274276513029752,0.05307731784716532
PHY_POWER_1_8dBm,37.75452886362545,11.605081371258732,41.649,12.795499999999997,0.1759488571453552,0.0540835991286622
PHY_POWER_2_3dBm,38.825360724370505,11.930563699849436,42.748000000000005,13.142,0.18093929531963346,0.05560045672059255
PHY_POWER_2_8dBm,39.55003895399306,12.148426928021651,43.60300000000001,13.406500000000001,0.18431654064987657,0.05661577295323214
PHY_POWER_3dBm,40.3319877127003,12.399794031806765,44.458,13.677500000000002,0.18796068599036636,0.05778722856309249
