,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,23.45151009983168,7.153319530828319,25.16000000000001,7.661000000000001,0.10929195846418269,0.03333688524603483
PHY_POWER_m12dBm,24.772845681608622,7.557832557752555,26.748000000000005,8.151499999999997,0.11544982859305974,0.03522205258701308
PHY_POWER_m10dBm,26.213224791345183,7.994703396279373,28.336,8.633,0.12216248177248697,0.03725801825980907
PHY_POWER_m7dBm,27.470444081903665,8.382588601746738,29.923000000000002,9.120999999999999,0.12802154832722765,0.03906569433628972
PHY_POWER_m5dBm,28.711968979976575,8.764914322750878,31.26700000000001,9.535553587245348,0.1338074737117685,0.04084746133730144
PHY_POWER_m4dBm,30.258739369178684,9.228061703785844,32.733000000000004,9.995999999999999,0.14101594619011515,0.04300588457381753
PHY_POWER_m3dBm,31.186674957680847,9.521945561343951,34.13699999999999,10.408499999999998,0.14534043946855624,0.044375482617474635
PHY_POWER_m2dBm,32.51800967053126,9.92458851537773,35.664,10.877499999999998,0.1515449089257199,0.0462519347871143
PHY_POWER_m1dBm,33.560562218670825,10.249998213437724,37.007000000000005,11.305,0.15640355595113326,0.04776845389623856
PHY_POWER_0dBm,34.843461510387115,10.627897706469069,38.351,11.695999999999998,0.16238229998540302,0.049529593179815604
PHY_POWER_0_7dBm,35.67704754687327,10.883182921011748,39.572,12.071999999999996,0.1662670924822675,0.050719308509256954
PHY_POWER_1_3dBm,36.84553656148364,11.230734080813669,40.794,12.457999999999998,0.17171264597997452,0.05233901430899232
PHY_POWER_1_8dBm,37.85717998543157,11.547582882880384,41.893,12.770999999999994,0.17642724604623955,0.05381563675110748
PHY_POWER_2_3dBm,38.48030917415163,11.756328630364603,42.86999999999999,13.088000000000001,0.17933123854486763,0.05478846244405865
PHY_POWER_2_8dBm,39.37324634337922,12.018779195240585,43.968999999999994,13.4085,0.18349262736780092,0.0560115707263493
PHY_POWER_3dBm,40.231572275464146,12.269512967078423,44.946,13.693999999999996,0.18749271613474264,0.05718007479540989
