,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,23.699633678074747,7.24765289533698,25.405,7.7829999999999995,0.11044829814942625,0.03377651058835942
PHY_POWER_m12dBm,25.1925660106826,7.701615931303629,27.236999999999995,8.32,0.11740586709874454,0.03589213167458949
PHY_POWER_m10dBm,26.63637855536941,8.137501914612855,28.947000000000003,8.852999999999998,0.12413452124477795,0.03792350758940928
PHY_POWER_m7dBm,27.946886195179204,8.546469513708326,30.656999999999996,9.382500000000002,0.1302419295066499,0.03982943474136098
PHY_POWER_m5dBm,29.286096967666232,8.95293080533032,32.24499999999999,9.849,0.1364831040620782,0.04172368165391131
PHY_POWER_m4dBm,30.953182080251118,9.470472170888058,33.771,10.35,0.14425228379102842,0.044135599231382744
PHY_POWER_m3dBm,32.09310700980156,9.819161636380777,35.542,10.8535,0.149564719004043,0.0457606099201316
PHY_POWER_m2dBm,33.388887671931116,10.219472957854775,37.129999999999995,11.339000000000002,0.15560349457547928,0.047626195894469016
PHY_POWER_m1dBm,34.69242778616568,10.601693741371825,38.47399999999999,11.764000000000003,0.16167843181469538,0.04940747385134535
PHY_POWER_0dBm,35.87966312426978,10.980872627305605,39.81700000000001,12.1775,0.16721134951197472,0.05117457553799823
PHY_POWER_0_7dBm,37.311277199922245,11.404018234204411,41.161,12.580000000000002,0.1738831546719363,0.05314657699532944
PHY_POWER_1_3dBm,38.31657433836411,11.729170671788323,42.382000000000005,12.962741627593225,0.17856817890410884,0.054661897183738276
PHY_POWER_1_8dBm,39.0011966673346,11.954568888482534,43.552469517743404,13.316989686654509,0.18175875020732019,0.05571232900804206
PHY_POWER_2_3dBm,40.10203657843941,12.298334182789791,44.70299999999999,13.679000000000006,0.18688903603232748,0.05731439139579105
PHY_POWER_2_8dBm,41.063585148421936,12.563513130181232,45.67999999999999,13.997000000000003,0.19137017715818525,0.058550214862190725
PHY_POWER_3dBm,41.96462646989326,12.836452034474933,46.657,14.267891496899914,0.19556933406797689,0.059822202348895945
