,median__mW_mean,median__mA_mean,median__mW_max,median__mA_max,median__mWh,median__mAh
PHY_POWER_m17dBm,24.064798883439167,7.280766004774305,25.647999999999996,7.739000000000001,0.11215009135111603,0.033930828863209875
PHY_POWER_m12dBm,25.44503824360186,7.706864879675193,27.35799999999999,8.281,0.11858247298365807,0.03591659354697909
PHY_POWER_m10dBm,26.61595795845457,8.054601918709606,28.58,8.638000000000002,0.12403935436553093,0.03753716560672375
PHY_POWER_m7dBm,27.980769288888172,8.467047199075555,30.717,9.283,0.13039983616828982,0.03945929992807934
PHY_POWER_m5dBm,29.051554709957376,8.80409475546804,31.388999999999996,9.52863197519929,0.1353900579179923,0.04103005538804291
PHY_POWER_m4dBm,30.260205750316853,9.16595800309883,32.97699999999999,9.977,0.14102278002153,0.042716460351366045
PHY_POWER_m3dBm,31.368594748332992,9.518835135490272,34.19799999999999,10.376999999999999,0.14618824714145784,0.044360986982363765
PHY_POWER_m2dBm,32.419949220693795,9.833705221577056,35.664,10.824,0.1510879141068365,0.045828387939646144
PHY_POWER_m1dBm,33.803683120958205,10.258573487364448,36.946000000000005,11.2195,0.15753658147663052,0.047808417569274064
PHY_POWER_0dBm,34.666544178002084,10.525593580569076,38.229,11.579,0.1615578054577454,0.04905282139706133
PHY_POWER_0_7dBm,35.729348347036726,10.851519548259798,39.14499999999999,11.889499999999998,0.16651083187707724,0.05057174649704918
PHY_POWER_1_3dBm,36.591147513745696,11.115624464136495,40.54900000000001,12.286999999999995,0.17052710709054847,0.051802564613806175
PHY_POWER_1_8dBm,37.54947813933907,11.39828905989679,41.403999999999996,12.581000000000003,0.17499325150860268,0.053119877107868155
PHY_POWER_2_3dBm,38.45856667842017,11.674390651784424,42.39666873339238,12.883725547375775,0.17922991117062714,0.05440660378704669
PHY_POWER_2_8dBm,39.36274546024407,11.945523230023099,43.6273280254777,13.274000000000001,0.18344368970542613,0.055670173184198674
PHY_POWER_3dBm,40.15287226535832,12.19009432625124,44.396499999999996,13.475000000000001,0.18712594750453493,0.056809957103303194
